insee;nom;altitude;code_postal;longitude;latitude;pop99;surface;departement;region;indicatif
1001;L'Abergement-Clémenciat;257;1400;0.085855661334626;0.80550822542086;728;15.70;1;RA;4
1002;L'Abergement-de-Varey;367;1640;0.094664724107957;0.80298721055397;168;9.14;1;RA;4
1004;Ambérieu-en-Bugey;247;1500;0.093355722175535;0.80208546420886;11436;24.51;1;RA;4
1005;Ambérieux-en-Dombes;293;1330;0.085593864277093;0.80278361188862;1408;16.06;1;RA;4
1006;Ambléon;400;1300;0.097777218730581;0.79849299305639;86;6.03;1;RA;4
1007;Ambronay;250;1500;0.093539946343939;0.80299207082295;2146;33.64;1;RA;4
1008;Ambutrix;270;1500;0.09323932539114;0.80179464701783;586;5.19;1;RA;4
1009;Andert-et-Condon;330;1300;0.098717755681434;0.79928321953085;275;6.95;1;RA;4
1010;Anglefort;250;1350;0.1013842374005;0.80131461223134;769;29.49;1;RA;4
1011;Apremont;900;1100;0.098848658371391;0.80651663136762;329;15.09;1;RA;4
1012;Aranc;781;1110;0.096124011549644;0.80294360129111;275;21.76;1;RA;4
1013;Arandas;740;1230;0.095799189120438;0.80104310295819;135;14.05;1;RA;4
1014;Arbent;560;1100;0.099110455428924;0.80800986579082;3610;23.78;1;RA;4
1015;Arbignieu;280;1300;0.098625643597231;0.79812454471958;431;13.04;1;RA;4
1016;Arbigny;200;1190;0.08676710325057;0.81108361974196;332;17.48;1;RA;4
1017;Argis;320;1230;0.095842839995181;0.80171208902402;390;7.90;1;RA;4
1019;Armix;721;1510;0.097500882477971;0.80022378144884;15;6.95;1;RA;4
1021;Ars-sur-Formans;250;1480;0.084149116030481;0.80276417081267;1102;5.57;1;RA;4
1022;Artemare;260;1510;0.099386800003911;0.80065528012446;970;3.34;1;RA;4
1023;Asnières-sur-Saône;174;1570;0.08521570372468;0.80952733497994;69;4.70;1;RA;4
1024;Attignat;222;1340;0.090078377881433;0.80791292672714;1924;18.97;1;RA;4
1025;Bâgé-la-Ville;210;1380;0.086311386453787;0.80835893963071;2314;39.85;1;RA;4
1026;Bâgé-le-Châtel;205;1380;0.086030189932187;0.80823290553212;762;0.89;1;RA;4
1027;Balan;194;1360;0.089006938240624;0.7999522721757;1534;17.94;1;RA;4
1028;Baneins;240;1990;0.085608403472167;0.80480521747211;529;9.06;1;RA;4
1029;Beaupont;210;1270;0.091881878894013;0.81001216345641;492;14.06;1;RA;4
1030;Beauregard;180;1480;0.082927382558028;0.80292416021515;817;0.95;1;RA;4
1031;Bellignat;526;01810|01100;0.098213519418542;0.8070838846798;3488;7.79;1;RA;4
1032;Béligneux;250;1360;0.089525688731459;0.80053403971583;2594;13.30;1;RA;4
1033;Bellegarde-sur-Valserine;350;1200;0.10154907042722;0.80484889331398;10846;15.51;1;RA;4
1034;Belley;290;1300;0.099294696242087;0.79864812218989;8004;22.63;1;RA;4
1035;Belleydoux;850;1130;0.10078791402054;0.80726324857921;277;17.93;1;RA;4
1036;Belmont-Luthézieu;429;1260;0.098824415283092;0.80078131422305;394;19.69;1;RA;4
1037;Bénonces;488;1470;0.095547070988992;0.79985047284303;243;15.35;1;RA;4
1038;Bény;230;1370;0.092197014074755;0.80844622473543;613;18.31;1;RA;4
1039;Béon;241;1350;0.10042916125457;0.80034009500945;364;10.22;1;RA;4
1040;Béréziat;210;1340;0.088027619006396;0.80928492074172;340;11.31;1;RA;4
1041;Bettant;260;1500;0.09365144956983;0.80184791023962;683;3.47;1;RA;4
1042;Bey;210;1290;0.084585441685577;0.80654086613353;221;2.80;1;RA;4
1043;Beynost;190;1700;0.087256758706494;0.80005893177736;3530;10.78;1;RA;4
1044;Billiat;551;1200;0.10092851228134;0.80421379597302;411;14.02;1;RA;4
1045;Birieux;285;1330;0.0879791328298;0.80203699467702;145;15.80;1;RA;4
1046;Biziat;210;1290;0.086282291418877;0.80663787177623;641;11.66;1;RA;4
